       project_name        |    tech_name    
---------------------------+-----------------
 School Bus                | HTML
 School Bus                | CSS
 Medium Blog Layout        | HTML
 Medium Blog Layout        | CSS
 Mozilla Front Page        | HTML
 Mozilla Front Page        | CSS
 Mozilla Front Page        | Bootstrap
 Personal Website          | HTML
 Personal Website          | CSS
 Modal Dialog              | HTML
 Modal Dialog              | CSS
 CSS Tricks Blog Layout    | HTML
 CSS Tricks Blog Layout    | CSS
 RPG Hero Game             | Python
 Catch the Monster Game    | Python
 Catch the Monster Game    | PyGame
 Phone Book                | Python
 Turtle Graphics Exercises | Python
 Turtle Graphics Exercises | Turtle Graphics
 RPG Hero Game             | Objects
 Catch the Monster Game    | Objects
 Phone Book                | File IO
 Phone Book                | Pickle
(23 rows)

